canonical_ticker,alias_ticker,start_date,end_date,alias_status,notes
BFH,ADS,2013-12-23,2020-06-22,renamed,renamed to BFH
BKR,BHGE,1996-01-02,2019-10-18,renamed,renamed to BKR
COR,ABC,2001-08-30,2023-08-30,renamed,renamed to COR
CPAY,FLT,2018-06-20,2024-03-25,renamed,renamed to CPAY
CPRI,KORS,2013-11-13,2018-09-19,renamed,renamed to CPRI
DINO,HFC,2018-06-18,2021-06-04,renamed,renamed to DINO
DOC,HCP,2008-03-31,2019-11-05,renamed,renamed to DOC
DOC,PEAK,2019-11-05,2024-03-04,renamed,renamed to DOC
ELV,ANTM,2002-07-25,2022-06-28,renamed,renamed to ELV
FYBR,FTR,2001-02-27,2017-03-20,renamed,renamed to FYBR
GEN,SYMC,2003-03-31,2019-11-05,renamed,renamed to GEN
GEN,NLOK,2019-11-05,2022-11-08,renamed,renamed to GEN
GL,TMK,1996-01-02,2019-08-08,renamed,renamed to GL
J,JEC,2007-10-26,2019-12-10,renamed,renamed to J
LUMN,CTL,1999-03-25,2020-09-18,renamed,renamed to LUMN
META,FB,2013-12-23,2022-06-09,renamed,renamed to META
RTX,DAY,2024-02-01,2026-02-09,renamed,renamed to RTX
RVTY,PKI,1996-01-02,2023-05-16,renamed,renamed to RVTY
SPGI,INFO,2017-06-02,2022-03-02,renamed,renamed to SPGI
SW,WRK,2015-07-02,2024-07-08,renamed,renamed to SW
VSCO,LB,1996-01-02,2021-08-03,renamed,renamed to VSCO
WH,WYND,2006-08-01,2018-05-31,renamed,renamed to WH
WTW,WLTW,2016-01-05,2022-01-10,renamed,renamed to WTW
