ticker,alias_ticker,start_date,end_date
BFH,ADS,2013-12-23,2020-06-22
BKR,BHGE,1996-01-02,2019-10-18
COR,ABC,2001-08-30,2023-08-30
CPAY,FLT,2018-06-20,2024-03-25
CPRI,KORS,2013-11-13,2018-09-19
DINO,HFC,2018-06-18,2021-06-04
DOC,HCP,2008-03-31,2019-11-05
DOC,PEAK,2019-11-05,2024-03-04
ELV,ANTM,2002-07-25,2022-06-28
FYBR,FTR,2001-02-27,2017-03-20
GEN,SYMC,2003-03-31,2019-11-05
GEN,NLOK,2019-11-05,2022-11-08
GL,TMK,1996-01-02,2019-08-08
J,JEC,2007-10-26,2019-12-10
LUMN,CTL,1999-03-25,2020-09-18
META,FB,2013-12-23,2022-06-09
RTX,DAY,2024-02-01,2026-02-09
RVTY,PKI,1996-01-02,2023-05-16
SPGI,INFO,2017-06-02,2022-03-02
SW,WRK,2015-07-02,2024-07-08
VSCO,LB,1996-01-02,2021-08-03
WH,WYND,2006-08-01,2018-05-31
WTW,WLTW,2016-01-05,2022-01-10
